latitude,longitude,length,cul_matl,cul_type,Soil_Drainage_Class,Soil_Moisture,Soil_pH,Soil_Elec_Conductivity,Soil_Surface_Texture,Flooding_Frequency,State,Age,Cul_rating
43.92145177,-73.0184936,40,High Density Polyethylene,Round,Well drained,3.3,5.4,0,Slightly decomposed plant material,None,Vermont,2,3
43.50820431,-72.53524646,40,High Density Polyethylene,Round,Somewhat excessively drained,7.4,5.3,0,Moderately decomposed plant material,None,Vermont,3,3
43.32848125,-72.52517858,40,Poly Vinyl Chloride,Round,Moderately well drained,3.2,5.5,0,Fine sandy loam,Occasional,Vermont,14,4
42.8848493,-72.82823468,40,Poly Vinyl Chloride,Round,Well drained,5.5,4.8,0,Fine sandy loam,None,Vermont,1,4
42.85724559,-72.82224545,40,Poly Vinyl Chloride,Round,Somewhat poorly drained,6.5,5.5,0,Loam,None,Vermont,1,4
43.48011162,-72.60093743,30,High Density Polyethylene,Round,Moderately well drained,4.6,5.4,0,Fine sandy loam,None,Vermont,0,4
43.31546602,-72.50597977,50,Poly Vinyl Chloride,Round,Moderately well drained,5.3,5.5,0,Fine sandy loam,None,Vermont,11,4
44.58497516,-72.87962839,30,Corrugated Steel,Round,Moderately well drained,4.6,5.4,0,Fine sandy loam,None,Vermont,4,3
42.85961056,-72.82131456,40,Poly Vinyl Chloride,Round,Somewhat poorly drained,6.5,5.5,0,Loam,None,Vermont,3,4
43.2535491,-72.70445462,40,Corrugated Steel,Round,Well drained,3.8,5.2,0,Slightly decomposed plant material,None,Vermont,0,3
44.95470657,-72.10760951,40,Poly Vinyl Chloride,Round,Moderately well drained,5.8,6.3,0,Loam,None,Vermont,0,4
43.30862186,-72.52257492,40,Poly Vinyl Chloride,Round,Well drained,10,4.8,0,Moderately decomposed plant material,None,Vermont,11,3
43.46141943,-72.58212133,30,High Density Polyethylene,Round,Well drained,3.3,5.4,0,Moderately decomposed plant material,None,Vermont,3,4
43.90039248,-73.01531317,40,High Density Polyethylene,Round,Excessively drained,1.6,5.3,0,Gravelly sandy loam,None,Vermont,0,4
44.89223445,-72.06826686,50,Corrugated Steel,Round,Moderately well drained,5.8,6.3,0,Loam,None,Vermont,4,3
43.87090786,-73.00918044,40,High Density Polyethylene,Round,Well drained,1.8,5.9,0,Gravelly fine sandy loam,None,Vermont,4,3
43.36754963,-72.69142385,55,Poly Vinyl Chloride,Round,Moderately well drained,4.6,5.4,0,Fine sandy loam,None,Vermont,1,4
43.44291163,-73.0468468,30,Poly Vinyl Chloride,Round,Moderately well drained,2.2,6.5,0,Fine sandy loam,None,Vermont,25,3
43.32003659,-72.52587341,55,Poly Vinyl Chloride,Round,Moderately well drained,5.3,5.5,0,Fine sandy loam,None,Vermont,12,3
43.32287432,-72.42976281,30,Poly Vinyl Chloride,Round,Somewhat excessively drained,"8.8	",4.4,0,Moderately decomposed plant material,None,Vermont,6,2
44.93245588,-72.12462269,20,Corrugated Steel,Round,Moderately well drained,3.4,5.1,0,Moderately decomposed plant material,None,Vermont,0,4
43.26626711,-72.53703142,60,Poly Vinyl Chloride,Round,Well drained,10,4.8,0,Moderately decomposed plant material,None,Vermont,7,3
43.31556998,-72.72562032,30,High Density Polyethylene,Ellipse/Squashed,Moderately well drained,3.4,5.1,0,Moderately decomposed plant material,None,Vermont,6,4
43.26246091,-72.47563494,40,Poly Vinyl Chloride,Round,Excessively drained,1.6,5.4,0,Moderately decomposed plant material,None,Vermont,9,3
43.35497137,-72.58281305,37,High Density Polyethylene,Round,Poorly drained,6.3,6.4,0,Silt loam,None,Vermont,3,3
43.32454014,-72.50119156,35,Poly Vinyl Chloride,Round,Moderately well drained,6.3,5.7,0,Slightly decomposed plant material,None,Vermont,0,4
43.26869804,-72.73672177,30,High Density Polyethylene,Round,Moderately well drained,3.4,5.1,0,Moderately decomposed plant material,None,Vermont,19,4
43.48993147,-72.61150082,30,Corrugated Steel,Round,Well drained,6.3,5.1,0,Slightly decomposed plant material,None,Vermont,3,4
42.89204709,-72.88362491,38,High Density Polyethylene,Round,Well drained,6.1,"4.6	",0,Fine sandy loam,None,Vermont,0,4
43.468366,-72.58023117,40,High Density Polyethylene,Round,Somewhat excessively drained,"2.2	",5.3,0,Loamy sand,None,Vermont,20,3
43.46895473,-72.58449765,40,High Density Polyethylene,Round,Well drained,"1.8	",4.8,0,Fine sandy loam,None,Vermont,2,3
44.92083242,-72.0814572,50,Corrugated Steel,Ellipse/Squashed,Excessively drained,"2.3	","5.0	",0,Slightly decomposed plant material,None,Vermont,0,4
43.47560134,-73.05163697,30,Poly Vinyl Chloride,Round,Well drained,7.5,"5.3	",0,Fine sandy loam,None,Vermont,26,3
43.25852448,-72.70689424,47,High Density Polyethylene,Round,Excessively drained,"1.3	",5.3,0,Gravelly sandy loam,None,Vermont,12,4
43.32179234,-72.51052901,50,Corrugated Steel,Round,Well drained,"2.4	","5.4	",0,Fine sandy loam,None,Vermont,66,0
43.41606818,-72.51971226,50,Corrugated Steel,Round,Well drained,1.8,4.8,0,Fine sandy loam,None,Vermont,1,3
43.39467443,-72.68938997,40,High Density Polyethylene,Round,Excessively drained,1.6,"5.3	",0,Gravelly sandy loam,None,Vermont,1,4
43.49175887,-72.55793838,32,High Density Polyethylene,Round,Moderately well drained,3.2,5.5,0,Fine sandy loam,Occasional,Vermont,5,4
43.26140754,-72.50321929,40,Poly Vinyl Chloride,Round,Moderately well drained,5.8,"6.3	",0,Loam,None,Vermont,16,3
43.4564083,-72.61267746,34,High Density Polyethylene,Round,Well drained,"3.3	",5.4,0,Slightly decomposed plant material,None,Vermont,3,3
44.93724166,-72.09518572,60,Corrugated Steel,Round,Moderately well drained,6.3,5.7,0,Slightly decomposed plant material,None,Vermont,0,4
43.24521604,-72.7087717,36,High Density Polyethylene,Round,Moderately well drained,3.4,"5.1	",0,Moderately decomposed plant material,None,Vermont,1,3
43.43241236,-72.71877256,35,Poly Vinyl Chloride,Round,Excessively drained,1.6,"1.3	",0,Gravelly sandy loam,None,Vermont,1,3
43.32604354,-72.50106018,30,Poly Vinyl Chloride,Round,Moderately well drained,6.3,5.7,0,Slightly decomposed plant material,None,Vermont,0,4
44.8326739,-71.92892423,20,Corrugated Steel,Round,Moderately well drained,4.6,"5.4	",0,Fine sandy loam,None,Vermont,4,3
43.32301153,-72.42742139,40,Poly Vinyl Chloride,Round,Moderately well drained,6.3,"5.7	",0,Slightly decomposed plant material,None,Vermont,0,4
43.38463273,-72.66826637,60,High Density Polyethylene,Round,Well drained,"6.3	","5.1	",0,Slightly decomposed plant material,None,Vermont,1,4
43.3231857,-72.52645048,70,Poly Vinyl Chloride,Round,Moderately well drained,"5.3	","5.5	",0,Fine sandy loam,None,Vermont,12,4
43.36016869,-72.57479284,40,Corrugated Steel,Round,Well drained,3.3,5.4,0,Slightly decomposed plant material,None,Vermont,52,3
44.5506315,-72.94750269,40,Corrugated Steel,Round,Moderately well drained,3.4,3.4,0,Moderately decomposed plant material,None,Vermont,1,4
44.58034336,-72.94406822,35,Corrugated Steel,Round,Somewhat excessively drained,8.8,4.4,0,Moderately decomposed plant material,None,Vermont,4,0
43.32812747,-72.46052567,35,Poly Vinyl Chloride,Round,Moderately well drained,5.8,6.3,0,Loam,None,Vermont,13,3
43.26333435,-72.53699039,40,Poly Vinyl Chloride,Round,Well drained,10,4.8,0,Moderately decomposed plant material,None,Vermont,3,3
43.30330219,-72.7013041,22,High Density Polyethylene,Round,Moderately well drained,4.6,5.4,0,Fine sandy loam,None,Vermont,6,3
42.91113174,-72.87944689,42,Steel plate,Ellipse/Squashed,Somewhat poorly drained,6.5,5.5,0,Loam,None,Vermont,2,3
43.29448863,-72.40508451,40,Poly Vinyl Chloride,Round,Moderately well drained,3.2,5.5,0,Fine sandy loam,Occasional,Vermont,14,4
44.19591104,-72.2354427,29,Poly Vinyl Chloride,Round,Well drained,1.8,4.8,0,Fine sandy loam,None,Vermont,0,4
44.8366593,-71.99109433,60,Corrugated Steel,Round,Poorly drained,8,5.7,0,Silt loam,Frequent,Vermont,4,3
44.416363,-72.8491111,45,Corrugated Steel,Round,Moderately well drained,3.4,5.1,0,Moderately decomposed plant material,None,Vermont,1,4
44.14166208,-72.80942765,80,Corrugated Steel,Round,Somewhat poorly drained,3.9,5.2,0,Fine sandy loam,None,Vermont,50,3
44.54002248,-72.87025153,50,Corrugated Steel,Round,Very poorly drained,3.2,5.3,0,Loam,None,Vermont,2,3
43.06141592,-72.97486549,34,Poly Vinyl Chloride,Round,Poorly drained,6.2,5.1,0,Peat,None,Vermont,12,4
43.46407066,-72.55563235,40,Corrugated Steel,Round,Well drained,3.3,5.4,0,Moderately decomposed plant material,None,Vermont,5,3
43.26642954,-72.70531735,39,Corrugated Steel,Round,Moderately well drained,4.6,5.4,0,Fine sandy loam,None,Vermont,40,3
42.91406585,-72.83643869,45,Poly Vinyl Chloride,Round,Well drained,5.6,4.8,0,Fine sandy loam,None,Vermont,1,4
43.30283454,-72.73213903,40,High Density Polyethylene,Round,Well drained,3.3,5.4,0,Moderately decomposed plant material,None,Vermont,0,4
43.23959675,-72.75495798,25,High Density Polyethylene,Round,Moderately well drained,3.4,5.1,0,Moderately decomposed plant material,None,Vermont,12,4
43.49116499,-72.61134833,30,High Density Polyethylene,Round,Well drained,6.3,5.1,0,Slightly decomposed plant material,None,Vermont,1,3
44.51698824,-72.92137046,50,Corrugated Steel,Round,Moderately well drained,7.4,6.6,0,Very fine sandy loam,None,Vermont,1,4
44.50259991,-72.90015525,40,Corrugated Steel,Round,Poorly drained,5,5.5,0,Slightly decomposed plant material,None,Vermont,4,3
43.26433122,-72.50306143,60,Poly Vinyl Chloride,Round,Moderately well drained,5.8,6.3,0,Loam,None,Vermont,16,3
43.48743105,-72.41991161,40,Corrugated Steel,Round,Moderately well drained,6.3,5.7,0,Slightly decomposed plant material,None,Vermont,0,4
43.42038076,-72.68484008,40,High Density Polyethylene,Round,Well drained,10,4.8,0,Moderately decomposed plant material,None,Vermont,1,4
43.39443915,-72.70858725,336,High Density Polyethylene,Round,Well drained,3.3,5.4,0,Moderately decomposed plant material,None,Vermont,1,4
44.17693655,-72.81471432,50,High Density Polyethylene,Round,Poorly drained,3.3,6,0,Silt loam,None,Vermont,23,3
44.83357823,-72.01874684,40,Poly Vinyl Chloride,Round,Moderately well drained,6.3,5.7,0,Slightly decomposed plant material,None,Vermont,0,4
44.18220707,-72.79579479,50,Corrugated Steel,Ellipse/Squashed,Somewhat poorly drained,3.9,5.2,0,Fine sandy loam,None,Vermont,14,3
43.31362043,-72.5404353,32,Poly Vinyl Chloride,Round,Well drained,3.3,5.4,0,Moderately decomposed plant material,None,Vermont,11,3
43.51424,-72.60787077,30,High Density Polyethylene,Round,Moderately well drained,5.8,6.3,0,Loam,None,Vermont,1,4
43.40108569,-72.42451485,42,Steel plate,Arch,Well drained,4.5,5.6,0,Moderately decomposed plant material,None,Vermont,12,3
44.81684856,-71.96846054,40,Poly Vinyl Chloride,Round,Well drained,4.5,5.6,0,Moderately decomposed plant material,None,Vermont,0,4
43.40136264,-73.04106985,40,Poly Vinyl Chloride,Round,Poorly drained,8,5.7,0,Silt loam,Frequent,Vermont,23,3
43.27047796,-72.70467779,34,High Density Polyethylene,Round,Moderately well drained,4.6,5.4,0,Fine sandy loam,None,Vermont,7,3
43.29708969,-72.54085331,45,Poly Vinyl Chloride,Round,Well drained,3.8,5.2,0,Slightly decomposed plant material,None,Vermont,8,3
43.38415999,-72.66908302,60,High Density Polyethylene,Round,Well drained,6.3,5.1,0,Slightly decomposed plant material,None,Vermont,1,4
43.32551999,-72.71657176,56,High Density Polyethylene,Round,Well drained,3.8,5.2,0,Slightly decomposed plant material,None,Vermont,18,4
44.3365652,-73.17064597,40,Corrugated Steel,Round,Moderately well drained,40,7.5,0,Clay,None,Vermont,0,4
44.89600724,-72.06460067,50,Corrugated Steel,Ellipse/Squashed,Moderately well drained,5.8,6.3,0,Loam,None,Vermont,3,4
43.29836108,-72.73731917,20,Corrugated Steel,Round,Moderately well drained,3.4,5.1,0,Moderately decomposed plant material,None,Vermont,4,4
44.91322585,-72.15024088,40,Corrugated Steel,Round,Poorly drained,5,5.5,0,Slightly decomposed plant material,None,Vermont,0,4
44.83578871,-72.02115566,60,Poly Vinyl Chloride,Round,Poorly drained,5,5.5,0,Slightly decomposed plant material,None,Vermont,0,4
43.25895139,-72.49271926,35,Poly Vinyl Chloride,Round,Well drained,7.7,5.5,0,Fine sandy loam,None,Vermont,15,3
43.31225482,-72.54294963,35,Poly Vinyl Chloride,Round,Poorly drained,3.8,5.7,0,Fine sandy loam,Frequent,Vermont,11,4
43.32548249,-72.71724837,55,Corrugated Steel,Round,Well drained,3.8,5.2,0,Slightly decomposed plant material,None,Vermont,1,3
43.32049825,-72.70891959,20,High Density Polyethylene,Round,Well drained,6.3,5.1,0,Slightly decomposed plant material,None,Vermont,1,4
43.32543033,-72.71558022,60,High Density Polyethylene,Round,Well drained,3.8,5.2,0,Slightly decomposed plant material,None,Vermont,21,4
44.11036645,-72.85281147,40,Corrugated Steel,Round,Excessively drained,1.6,5.3,0,Gravelly sandy loam,None,Vermont,7,3
43.2993835,-72.75764747,40,High Density Polyethylene,Round,Well drained,11.1,4.5,0,Moderately decomposed plant material,None,Vermont,2,4
43.24340931,-72.61898791,50,High Density Polyethylene,Round,Moderately well drained,3.2,5.5,0,Fine sandy loam,Occasional,Vermont,0,4
43.25671692,-72.74926559,40,High Density Polyethylene,Round,Moderately well drained,3.4,5.1,0,Moderately decomposed plant material,None,Vermont,18,3
43.33504177,-72.69695139,36,Poly Vinyl Chloride,Round,Moderately well drained,3.2,5.5,0,Fine sandy loam,Occasional,Vermont,1,3
43.2858193,-72.43524667,40,Poly Vinyl Chloride,Round,Somewhat excessively drained,7.4,5.3,0,Moderately decomposed plant material,None,Vermont,0,4
44.53270808,-72.87438564,40,Corrugated Steel,Round,Well drained,6.3,5.1,0,Slightly decomposed plant material,None,Vermont,4,4
43.44706805,-73.05064368,30,Corrugated Steel,Round,Moderately well drained,6.6,6.9,0,Silt loam,None,Vermont,40,3
44.83752021,-72.02038878,40,Poly Vinyl Chloride,Round,Poorly drained,6.3,6.4,0,Silt loam,None,Vermont,0,4
42.83606043,-72.58498121,30,Poly Vinyl Chloride,Round,Well drained,6.1,4.8,0,Fine sandy loam,None,Vermont,0,3
44.52105926,-72.89842618,40,Corrugated Steel,Round,Well drained,1.6,5.9,0,Gravelly fine sandy loam,None,Vermont,4,2
43.24771896,-72.52623917,35,Unreinforced Concrete,Round,Well drained,3.3,5.4,0,Moderately decomposed plant material,None,Vermont,46,3
43.32894289,-72.71407552,80,Corrugated Steel,Round,Moderately well drained,4.6,5.4,0,Fine sandy loam,None,Vermont,2,3
42.77968856,-72.78475302,60,Corrugated Steel,Round,Poorly drained,6.2,5.1,0,Peat,None,Vermont,27,3
43.48460745,-72.43877157,60,High Density Polyethylene,Round,Poorly drained,6.3,6.4,0,Silt loam,None,Vermont,3,4
43.46639198,-72.56000369,30,High Density Polyethylene,Round,Well drained,3.3,5.4,0,Moderately decomposed plant material,None,Vermont,2,3
43.32586635,-72.52760709,63,Poly Vinyl Chloride,Round,Excessively drained,1.6,5.3,0,Gravelly sandy loam,None,Vermont,0,4
42.77788785,-72.75147667,60,Corrugated Steel,Arch,Well drained,6.3,5.1,0,Slightly decomposed plant material,None,Vermont,9,3
43.32721726,-72.52684031,70,Poly Vinyl Chloride,Round,Excessively drained,1.6,5.3,0,Gravelly sandy loam,None,Vermont,14,4
43.47717438,-72.57405504,40,High Density Polyethylene,Round,Well drained,10,4.8,0,Moderately decomposed plant material,None,Vermont,1,4
43.46802536,-72.56427063,40,Corrugated Steel,Round,Well drained,6.3,5.1,0,Slightly decomposed plant material,None,Vermont,3,3
43.30429563,-72.52069813,40,Poly Vinyl Chloride,Round,Well drained,10,4.8,0,Moderately decomposed plant material,None,Vermont,15,3
44.9643205,-72.15609079,30,Corrugated Steel,Round,Well drained,5.4,5.5,0,Very fine sandy loam,None,Vermont,0,4
44.439983,-72.902789,40,High Density Polyethylene,Round,Somewhat poorly drained,5.5,6,0,Fine sandy loam,None,Vermont,0,4
43.3289656,-72.52477395,30,Poly Vinyl Chloride,Round,Moderately well drained,3.2,5.5,0,Fine sandy loam,Occasional,Vermont,0,4
43.50193355,-72.56527913,46,High Density Polyethylene,Round,Well drained,2.4,5.4,0,Fine sandy loam,None,Vermont,5,3
43.47455486,-73.05275384,30,Corrugated Steel,Round,Well drained,7.5,5.3,0,Fine sandy loam,None,Vermont,46,2
43.41589952,-72.50507327,28,Corrugated Steel,Round,Well drained,4.6,5.5,0,Moderately decomposed plant material,None,Vermont,9,3
44.90649759,-72.06703713,30,Poly Vinyl Chloride,Round,Poorly drained,6.3,6.4,0,Silt loam,None,Vermont,4,3
43.41518107,-72.47564626,44,Unreinforced Concrete,Round,Somewhat excessively drained,7.4,5.3,0,Moderately decomposed plant material,None,Vermont,5,3
43.8591276,-73.0171345,40,High Density Polyethylene,Round,Well drained,3.3,5.4,0,Slightly decomposed plant material,None,Vermont,1,3
43.32307529,-72.50273822,32,Poly Vinyl Chloride,Round,Excessively drained,1.6,5.4,0,Moderately decomposed plant material,None,Vermont,0,4
44.21958678,-72.27689041,40,Poly Vinyl Chloride,Round,Well drained,1.8,4.8,0,Fine sandy loam,None,Vermont,0,4
43.25560044,-72.70509203,24,High Density Polyethylene,Round,Well drained,3.8,5.2,0,Slightly decomposed plant material,None,Vermont,3,3
43.32874792,-72.41213195,40,Poly Vinyl Chloride,Round,Well drained,7.7,5.5,0,Fine sandy loam,None,Vermont,14,3
43.47047008,-72.45126638,30,High Density Polyethylene,Round,Moderately well drained,6.3,5.7,0,Slightly decomposed plant material,None,Vermont,5,4
43.26934661,-72.53915517,46,Poly Vinyl Chloride,Round,Well drained,10,4.8,0,Moderately decomposed plant material,None,Vermont,3,3
42.88331589,-72.82011024,38,Poly Vinyl Chloride,Round,Well drained,6.1,4.6,0,Fine sandy loam,None,Vermont,0,4
43.92154904,-73.01857025,50,Corrugated Steel,Round,Well drained,3.3,5.4,0,Slightly decomposed plant material,None,Vermont,5,3
43.32386066,-72.43160582,30,Poly Vinyl Chloride,Round,Moderately well drained,6.3,5.7,0,Slightly decomposed plant material,None,Vermont,0,4
43.32769603,-72.52605152,50,Poly Vinyl Chloride,Round,Excessively drained,1.6,5.3,0,Gravelly sandy loam,None,Vermont,14,4
44.09991147,-72.8109913,40,Corrugated Steel,Round,Somewhat poorly drained,3.9,5.2,0,Fine sandy loam,None,Vermont,7,3
43.85156099,-73.01748988,50,Poly Vinyl Chloride,Round,Well drained,1.8,5.9,0,Gravelly fine sandy loam,None,Vermont,0,4
43.27542384,-72.46855763,50,Poly Vinyl Chloride,Round,Excessively drained,1.6,5.4,0,Moderately decomposed plant material,None,Vermont,2,3
44.03369003,-73.11986517,72,Unreinforced Concrete,Round,Moderately well drained,40,7.4,0,Clay,None,Vermont,10,4
44.2875042,-73.21017268,30,Corrugated Steel,Round,Well drained,6.7,6.7,0,Loam,None,Vermont,0,4
43.41870596,-73.03601021,30,Corrugated Steel,Round,Somewhat poorly drained,7.1,7.1,0,Silt loam,None,Vermont,46,3
42.87912551,-72.87538086,58,Poly Vinyl Chloride,Round,Moderately well drained,5.9,5.4,0,Fine sandy loam,None,Vermont,2,4
43.65420732,-72.78865033,35,Poly Vinyl Chloride,Round,Well drained,6.3,5.1,0,Slightly decomposed plant material,None,Vermont,21,3
43.32618741,-72.71524325,20,High Density Polyethylene,Round,Well drained,3.8,5.2,0,Slightly decomposed plant material,None,Vermont,11,4
44.09382966,-72.83667847,40,Corrugated Steel,Round,Well drained,10,4.8,0,Moderately decomposed plant material,None,Vermont,7,3
43.30421268,-72.4632538,35,Poly Vinyl Chloride,Round,Somewhat excessively drained,7.4,5.3,0,Moderately decomposed plant material,None,Vermont,16,3
43.50182096,-72.57947123,34,High Density Polyethylene,Round,Moderately well drained,5.8,6.3,0,Loam,None,Vermont,5,3
43.30262696,-72.70152153,26,High Density Polyethylene,Round,Moderately well drained,4.6,5.4,0,Fine sandy loam,None,Vermont,6,4
43.35815867,-72.69733587,40,High Density Polyethylene,Round,Moderately well drained,4.6,5.4,0,Fine sandy loam,None,Vermont,0,4
43.28184624,-72.70751068,53,Steel plate,Round,Excessively drained,1.3,5.3,0,Gravelly sandy loam,None,Vermont,1,3
43.26066297,-72.53601292,55,Poly Vinyl Chloride,Round,Well drained,10,4.8,0,Moderately decomposed plant material,None,Vermont,3,3
44.13475648,-72.87742464,44,Corrugated Steel,Round,Somewhat poorly drained,3.9,5.2,0,Fine sandy loam,None,Vermont,0,4
43.35004907,-72.5644614,32,Unreinforced Concrete,Box,Moderately well drained,4.6,5.4,0,Fine sandy loam,None,Vermont,12,3
43.27750472,-72.70126905,60,High Density Polyethylene,Round,Excessively drained,1.6,5.3,0,Gravelly sandy loam,None,Vermont,0,4
43.32136685,-72.46182977,40,Poly Vinyl Chloride,Round,Moderately well drained,6.3,5.7,0,Slightly decomposed plant material,None,Vermont,14,3
43.47843728,-72.58095751,40,High Density Polyethylene,Round,Poorly drained,3.8,6,0,Highly decomposed plant material,None,Vermont,5,3
43.26381628,-72.4831406,40,Poly Vinyl Chloride,Round,Well drained,8.1,4.9,0,Moderately decomposed plant material,None,Vermont,14,3
44.56959545,-72.88315607,60,Corrugated Steel,Round,Well drained,6.6,6.5,0,Very fine sandy loam,None,Vermont,4,3
44.416559,-72.8510631,50,Corrugated Steel,Round,Somewhat excessively drained,8.8,4.4,0,Moderately decomposed plant material,None,Vermont,1,4
43.11036052,-72.88381125,28,Poly Vinyl Chloride,Round,Somewhat poorly drained,6.5,5.5,0,Loam,None,Vermont,5,2
43.28053843,-72.69658023,40,High Density Polyethylene,Round,Excessively drained,1.6,5.3,0,Gravelly sandy loam,None,Vermont,1,4
43.39783002,-72.48760099,40,High Density Polyethylene,Round,Well drained,7.7,5.5,0,Fine sandy loam,None,Vermont,3,3
43.39541773,-72.42508473,58,Corrugated Steel,Round,Well drained,4.5,5.6,0,Moderately decomposed plant material,None,Vermont,5,3
44.54690787,-73.14436823,30,High Density Polyethylene,Round,Poorly drained,20.8,6.2,0,Silt loam,None,Vermont,6,3
42.85321089,-72.87077614,30,Poly Vinyl Chloride,Round,Well drained,5.5,4.8,0,Fine sandy loam,None,Vermont,7,4
43.86710672,-73.01566099,50,High Density Polyethylene,Round,Well drained,3.1,5.6,0,Fine sandy loam,None,Vermont,0,4
43.35554733,-72.43303117,28,High Density Polyethylene,Round,Moderately well drained,5.8,6.3,0,Loam,None,Vermont,8,3
43.27674644,-72.70863678,35,Corrugated Steel,Round,Well drained,6.3,5.1,0,Slightly decomposed plant material,None,Vermont,0,3
42.98954395,-72.55654646,74,Poly Vinyl Chloride,Round,Well drained,6.1,4.8,0,Fine sandy loam,None,Vermont,2,4
43.31988284,-72.43015582,30,Poly Vinyl Chloride,Round,Moderately well drained,6.3,5.7,0,Slightly decomposed plant material,None,Vermont,0,4
43.51873101,-72.54192058,20,High Density Polyethylene,Round,Well drained,7.7,5.5,0,Fine sandy loam,None,Vermont,1,3
42.89998987,-72.8349231,55,Poly Vinyl Chloride,Round,Somewhat poorly drained,6.4,5.5,0,Loam,None,Vermont,3,3
44.08962816,-72.85060651,35,Corrugated Steel,Round,Well drained,3.3,5.4,0,Slightly decomposed plant material,None,Vermont,7,3
43.24736927,-72.74526103,35,High Density Polyethylene,Round,Moderately well drained,3.4,5.1,0,Moderately decomposed plant material,None,Vermont,21,4
44.23979765,-72.23777287,20,Poly Vinyl Chloride,Round,Somewhat poorly drained,3.7,5.2,0,Highly decomposed plant material,None,Vermont,0,4
43.26803573,-72.73381698,20,High Density Polyethylene,Round,Poorly drained,3.8,5.7,0,Fine sandy loam,Frequent,Vermont,1,4
43.50596735,-72.55478823,30,High Density Polyethylene,Round,Very poorly drained,9.1,6.3,0,Slightly decomposed plant material,Frequent,Vermont,4,4
43.37281668,-72.70403591,38,Poly Vinyl Chloride,Round,Moderately well drained,4.6,5.4,0,Fine sandy loam,None,Vermont,1,3
43.36921073,-72.55590382,40,High Density Polyethylene,Round,Well drained,6.3,5.1,0,Slightly decomposed plant material,None,Vermont,1,4
43.49063737,-73.03210079,30,Corrugated Steel,Round,Moderately well drained,7.6,6.2,0,Loam,None,Vermont,46,2
43.35611816,-72.45016412,30,Corrugated Steel,Round,Well drained,7.7,5.5,0,Fine sandy loam,None,Vermont,5,3
43.25182223,-72.68771935,40,Corrugated Steel,Round,Moderately well drained,4.6,5.4,0,Fine sandy loam,None,Vermont,0,3
44.49203592,-73.00662607,30,Corrugated Steel,Round,Moderately well drained,7.4,6.6,0,Very fine sandy loam,None,Vermont,4,3
44.2021794,-72.79419906,60,Corrugated Steel,Ellipse/Squashed,Well drained,3.3,5.4,0,Slightly decomposed plant material,None,Vermont,6,3
44.419268,-72.8518422,50,Corrugated Steel,Round,Moderately well drained,3.4,5.1,0,Moderately decomposed plant material,None,Vermont,1,4
44.23976114,-72.23997228,66,Steel plate,Round,Somewhat poorly drained,3.7,5.2,0,Highly decomposed plant material,None,Vermont,0,3
