Budget (USD),Duration (Months),NumWorkers,SafetyIncidents,Location,ProjectType,MaterialType,ProjectPhase
2139644.663,21.96742693,168,6,Los Angeles,Residential,,Execution
3067011.606,31.58077979,209,6,San Jose,Industrial,Wood,Closing
4427992.146,36.35961451,257,10,San Jose,Infrastructure,Glass,Planning
1962942.468,19.3508965,151,5,Phoenix,Residential,Wood,Planning
3081952.559,25.69456045,228,9,Dallas,Industrial,Concrete,Planning
2118950.868,24.26707779,165,5,Houston,Commercial,Wood,Planning
654165.1524,9.071705117,28,0,Dallas,Commercial,Steel,Planning
871579.3019,10.93304562,41,1,Philadelphia,Industrial,Concrete,Planning
914634.1168,10.36658984,24,0,Phoenix,Commercial,Glass,Closing
2336785.538,17.70557869,172,5,Houston,Industrial,Brick,Planning
4375593.039,42.91368792,260,11,Los Angeles,Residential,Concrete,Execution
542550.7691,9.04830661,32,0,Houston,Industrial,Concrete,Execution
4144797.649,45.31970494,255,11,San Antonio,Industrial,Concrete,Execution
3064811.406,24.26154305,202,5,San Jose,Residential,Wood,Execution
1973748.607,20.38425941,146,4,Dallas,Infrastructure,Wood,Planning
2696565.261,33.75289584,192,7,Dallas,Residential,Concrete,Planning
2259398.909,19.88565969,130,4,Houston,Infrastructure,Brick,Planning
2835516.014,35.60515334,200,8,Philadelphia,Infrastructure,Concrete,Closing
3111102.529,25.40656744,192,8,Philadelphia,Residential,Wood,Planning
4408430.323,39.20318884,243,9,Phoenix,Residential,Glass,Closing
2070126.02,22.44593565,163,6,Phoenix,Industrial,Concrete,Planning
745819.6812,10.58663692,76,0,Dallas,Commercial,Steel,Execution
4586452.59,42.35022094,236,9,San Diego,Industrial,Wood,Execution
4230084.758,37.92393116,251,10,Dallas,Industrial,Concrete,Execution
1871703.681,22.15961272,166,6,Houston,Commercial,Concrete,Planning
3032003.645,32.50891368,222,9,Chicago,Industrial,Steel,Planning
4168675.358,37.37775932,235,11,Dallas,Commercial,Concrete,Closing
983556.4123,11.27210422,57,1,Chicago,Commercial,Wood,Closing
3110459.988,33.12815467,186,9,New York,Residential,Concrete,Execution
2059750.582,16.24104475,141,6,San Jose,Commercial,Wood,Planning
3151357.736,33.06234397,180,8,Phoenix,Infrastructure,Steel,Execution
4755078.148,39.24142783,261,11,Dallas,Commercial,Wood,Execution
818723.6579,1.184799223,56,1,New York,Industrial,Steel,Execution
4126051.66,38.05739612,254,10,Philadelphia,Residential,Steel,Execution
4528609.754,44.24805994,264,11,Chicago,Commercial,Wood,Closing
4852237.625,39.99843164,226,10,Philadelphia,Commercial,Concrete,Closing
4614748.884,33.61847792,224,10,San Jose,Industrial,Wood,Closing
2557627.618,37.66716851,172,8,San Diego,Residential,Brick,Closing
3184360.3,32.41343944,208,9,Houston,Industrial,Steel,Planning
2928046.271,23.36976157,192,8,San Jose,Residential,Wood,Planning
2902559.416,28.24039341,185,7,San Antonio,Infrastructure,Wood,Execution
3399133.498,45.54959278,212,8,Houston,Industrial,Steel,Execution
3244616.613,28.705728,207,7,San Jose,Infrastructure,Steel,Execution
2011402.625,21.34296139,181,6,San Jose,Industrial,Steel,Closing
1948240.787,27.99323585,161,5,Philadelphia,Residential,Brick,Execution
772845.5297,10.75150881,43,1,Dallas,Commercial,Brick,Closing
4118438.488,35.69807495,242,12,Houston,Commercial,Glass,Execution
4422460.017,37.93192167,240,9,Chicago,Residential,Brick,Closing
2729785.127,23.38771022,210,9,San Antonio,Commercial,Brick,Closing
4285829.516,49.55709544,224,10,San Antonio,Industrial,Concrete,Closing
811560.3538,1.449158037,23,2,San Antonio,Residential,Concrete,Execution
2991435.324,30.29011367,217,6,Philadelphia,Commercial,Glass,Planning
3190289.855,28.1674649,166,7,Los Angeles,Residential,Wood,Closing
2922995.638,31.91494492,203,6,Philadelphia,Infrastructure,Brick,Planning
2450499.031,27.50134912,189,9,San Diego,Infrastructure,Brick,Execution
582156.4954,8.453938121,57,2,San Diego,Infrastructure,Glass,Execution
4598285.891,42.84880179,254,10,Dallas,Commercial,Brick,Closing
659538.7362,-2.119396633,18,2,San Antonio,Residential,Wood,Execution
4740106.332,40.70179935,211,9,New York,Infrastructure,Concrete,Planning
4309536.724,36.61502431,235,11,Los Angeles,Infrastructure,Wood,Planning
4677500.793,43.80423327,251,10,Houston,Industrial,Steel,Closing
4790185.51,49.03598322,216,9,Houston,Residential,Concrete,Closing
1719478.946,28.74788372,125,4,Dallas,Industrial,Concrete,Closing
2979349.048,21.78405594,196,10,Phoenix,Industrial,Glass,Planning
1973473.251,15.12735348,172,5,San Antonio,Industrial,Steel,Planning
4465439.653,43.85960077,259,9,San Antonio,Residential,Concrete,Planning
740882.7967,11.21669725,45,1,San Diego,Infrastructure,Concrete,Closing
4755393.077,41.69011741,226,9,Houston,Residential,Glass,Closing
4191439.697,36.83622485,262,9,Los Angeles,Commercial,Glass,Planning
2239314.3,19.20735213,149,4,Chicago,Industrial,Wood,Closing
438674.1653,13.03004976,24,3,Phoenix,Industrial,Wood,Execution
865311.3926,11.55625077,112,2,Phoenix,Residential,Brick,Execution
1814529.373,21.19184491,170,6,Houston,Infrastructure,Concrete,Planning
2046757.182,12.22052177,157,6,Philadelphia,Commercial,Wood,Execution
2334514.477,22.09509505,136,5,Phoenix,Industrial,Brick,Planning
4417555.851,44.56736866,261,10,Los Angeles,Infrastructure,Concrete,Execution
4960727.75,32.60277888,275,11,Los Angeles,Infrastructure,Steel,Closing
,25.83922201,241,11,Philadelphia,Infrastructure,Glass,Planning
4620618.937,35.74732361,300,10,San Jose,Infrastructure,Wood,Execution
2569331.416,35.48576356,190,7,Phoenix,Commercial,Brick,Execution
2868376.702,28.48136986,173,7,Houston,Infrastructure,Brick,Planning
1726624.26,18.87617299,127,3,San Diego,Infrastructure,Wood,Execution
1982343.59,32.89854669,134,7,San Antonio,Industrial,Concrete,Planning
4482512.934,42.74159814,269,10,San Jose,Residential,Glass,Planning
879096.8362,20.81627362,44,1,Philadelphia,Residential,Brick,Execution
3110295.255,31.70294608,208,7,Dallas,Infrastructure,Glass,Execution
4699116.303,48.51586305,217,8,San Diego,Residential,Concrete,Planning
527884.8309,18.76135222,69,2,Dallas,Industrial,Concrete,Execution
759704.3256,5.845249418,55,1,San Jose,Industrial,Wood,Closing
732052.8611,17.20058608,36,3,Philadelphia,Commercial,Brick,Execution
1930269.573,18.25371148,144,7,San Jose,Industrial,Concrete,Closing
4084437.636,38.39851098,283,10,Dallas,Infrastructure,Glass,Closing
1255386.485,7.345656135,40,2,San Diego,Industrial,Wood,Execution
4567710.575,35.31037212,254,9,San Diego,Industrial,Concrete,Closing
2123830.852,30.28747735,150,4,Houston,Residential,Steel,Closing
4343960.174,46.65287452,226,11,Chicago,Residential,Concrete,Execution
2864858.384,30.17076209,178,7,San Antonio,Infrastructure,Glass,Execution
2176621.955,19.61081401,146,8,New York,Infrastructure,Wood,Closing
2552353.753,19.39649924,188,8,Dallas,Residential,Brick,Execution
1787521.294,22.14153549,146,6,Los Angeles,Industrial,Steel,Closing
2851503.153,27.57347082,225,10,San Diego,Infrastructure,Wood,Execution
4472120.56,43.69826576,212,11,San Jose,Commercial,Wood,Execution
4385650.792,41.66303755,269,10,Philadelphia,Residential,Concrete,Planning
1924174.452,18.9820982,138,4,Houston,Commercial,Steel,Planning
4514250.75,33.53246187,236,9,Houston,Commercial,Wood,Planning
547433.7759,11.57123666,32,0,San Diego,Industrial,Concrete,Closing
2108292.546,23.7957758,138,2,San Antonio,Residential,Brick,Planning
2081963.731,18.79371173,163,7,Houston,Commercial,Glass,Closing
792818.7488,3.771306106,53,1,Phoenix,Industrial,Concrete,Closing
1842443.25,16.89576201,147,5,San Antonio,Commercial,Glass,Planning
2992138.542,29.32751608,207,9,San Jose,Commercial,Wood,Planning
4842408.057,31.26181745,259,10,Chicago,Industrial,Concrete,Closing
2050747.932,22.33846586,172,5,San Antonio,Residential,Wood,Execution
2224822.544,24.73763231,135,5,Phoenix,Commercial,Concrete,Execution
2035978.83,26.96001143,168,3,San Diego,Residential,Wood,Execution
4133771.024,33.85778084,208,10,San Jose,Industrial,Concrete,Planning
2147368.779,18.59336221,151,6,San Antonio,Residential,Concrete,Closing
2843246.867,26.54729474,182,7,San Jose,Industrial,Wood,Execution
1994889.186,25.8636451,161,5,San Antonio,Industrial,Glass,Closing
4409610.126,36.05330747,250,10,Dallas,Commercial,Wood,Closing
4642921.958,29.75029361,273,10,Los Angeles,Industrial,Glass,Closing
4713034.393,47.26308373,232,9,Houston,Residential,Wood,Closing
2904755.825,34.3719459,205,8,San Diego,Infrastructure,Glass,Planning
474136.1544,6.3453498,49,3,Los Angeles,Industrial,Wood,Planning
765160.9116,6.614191442,70,1,San Diego,Commercial,Glass,Planning
2221636.563,14.80047036,162,4,San Diego,Commercial,Concrete,Closing
2044936.945,24.66295416,122,3,San Diego,Infrastructure,Brick,Execution
4778690.906,43.55274551,259,10,San Jose,Residential,Steel,Planning
1862369.931,31.26217903,170,5,San Diego,Commercial,Glass,Execution
937656.7612,7.419776359,52,1,San Jose,Commercial,Glass,Planning
1963420.712,26.8743821,137,4,New York,Commercial,Steel,Planning
2079937.59,16.74321553,139,6,New York,Commercial,Brick,Execution
4585097.987,45.98623462,223,9,,Infrastructure,Brick,Planning
4743638.942,45.28684153,267,10,Dallas,Infrastructure,Steel,Closing
3085177.441,30.09573889,187,8,San Antonio,Infrastructure,Glass,Planning
2080746.018,19.87902197,132,5,Dallas,Infrastructure,Brick,Execution
2878424.948,27.30438648,189,9,Philadelphia,Commercial,Brick,Closing
2098806.037,21.30336883,139,4,Phoenix,Industrial,Glass,Closing
752785.8584,9.879374564,54,1,Philadelphia,Infrastructure,Glass,Planning
2402677.45,20.68267666,143,5,Chicago,Infrastructure,Steel,Closing
2150668.324,21.90579192,176,6,Los Angeles,Residential,Steel,Execution
1087428.327,14.40819878,50,2,San Diego,Commercial,Brick,Planning
785540.2002,3.323278206,58,2,San Diego,Industrial,Brick,Planning
4365976.96,45.85858957,226,10,Philadelphia,Residential,Brick,Planning
2777708.409,31.23252389,210,9,New York,Infrastructure,Brick,Planning
2209910.543,17.32382394,176,5,Houston,Commercial,Steel,Execution
3021178.891,32.9220649,240,6,Philadelphia,Residential,Concrete,Execution
1725619.771,11.93219301,179,5,New York,Commercial,Brick,Execution
2870125.392,36.60652016,228,7,Chicago,Industrial,Concrete,Closing
1060230.395,10.57837317,74,1,Phoenix,Infrastructure,Glass,Closing
3153641.443,31.07698253,210,12,Philadelphia,Industrial,Wood,Closing
1961018.344,25.66885048,162,2,Dallas,Residential,Steel,Planning
4502499.864,54.34201528,217,11,Chicago,Infrastructure,Wood,Closing
696025.0129,5.106181421,41,1,New York,Residential,Steel,Planning
821557.4721,12.80392263,72,2,San Antonio,Infrastructure,Brick,Execution
591495.8523,9.426317793,60,2,Houston,Commercial,Concrete,Execution
3315623.612,34.92724843,217,8,New York,Industrial,Steel,Closing
3392517.438,30.01847836,220,9,Houston,Commercial,Concrete,Execution
4444001.34,33.60484632,260,9,San Jose,Infrastructure,Glass,Planning
3078483.193,27.45518187,199,6,San Diego,Infrastructure,Glass,Execution
3017063.629,25.95867139,183,9,Philadelphia,Industrial,Glass,Closing
746297.3728,8.556706805,56,0,Philadelphia,Commercial,Steel,Execution
4734039.742,40.67148249,252,11,Houston,Commercial,Wood,Planning
853869.3028,17.66369457,48,1,Los Angeles,Commercial,Concrete,Closing
4720164.28,45.30685482,261,10,Chicago,Infrastructure,Steel,Closing
3096413.345,31.84366574,208,6,Houston,Commercial,Glass,Planning
4281567.273,44.17375663,268,8,San Jose,Industrial,Concrete,Planning
4833444.822,47.61619311,265,12,San Antonio,Infrastructure,Steel,Planning
3216353.346,23.43890403,212,9,Philadelphia,Industrial,Brick,Closing
641123.4551,10.55461295,27,1,San Diego,Industrial,Glass,Execution
1935464.032,18.74583492,177,6,Philadelphia,Infrastructure,Steel,Execution
3183078.055,27.25229863,198,7,Phoenix,Industrial,Wood,Execution
915083.2698,14.06754818,76,1,San Jose,Commercial,Wood,Execution
2896714.071,29.01766708,196,7,San Diego,Infrastructure,Concrete,Closing
2243431.704,27.60658026,170,5,Dallas,Residential,Steel,Closing
2779027.441,31.10270714,224,7,Houston,Commercial,Brick,Closing
4639080.495,34.29495745,248,9,New York,Industrial,Steel,Closing
3209463.541,35.84794996,195,8,Phoenix,Infrastructure,Glass,Planning
818545.0693,12.2837661,61,1,San Jose,Infrastructure,Glass,Execution
3092641.258,23.16431097,217,7,Philadelphia,Commercial,Concrete,Closing
3252741.336,25.76842011,211,8,Dallas,Industrial,Steel,Planning
5148618.594,51.53958125,246,10,Phoenix,Residential,Brick,Closing
3195163.344,34.59227222,175,8,San Jose,Residential,Glass,Execution
2700694.149,26.74988033,198,7,New York,Infrastructure,Steel,Closing
4297880.356,37.42390803,281,11,San Antonio,Commercial,Steel,Closing
4358195.808,49.76629569,239,10,Phoenix,Commercial,Steel,Closing
3005077.684,20.40163422,200,7,Chicago,Industrial,Steel,Execution
4575830.624,46.15111088,238,8,San Antonio,Infrastructure,Wood,Closing
2912656.053,29.66933693,242,8,Houston,Industrial,Concrete,Closing
853531.8041,6.371280934,54,0,San Jose,Infrastructure,Brick,Execution
1802074.373,24.70385594,130,5,New York,Industrial,Brick,Closing
533787.3345,13.07967803,62,1,Phoenix,Industrial,Wood,Planning
886390.5943,8.448666217,56,1,Philadelphia,Industrial,Brick,Planning
4269127.466,31.24085597,242,10,Philadelphia,Commercial,Concrete,Planning
4721180.085,37.18026256,234,10,Houston,Infrastructure,Wood,Execution
652478.7552,7.837209061,58,1,Phoenix,Industrial,Wood,Execution
1911343.55,15.57598643,147,7,Phoenix,Residential,Brick,Closing
2797220.81,30.42843581,181,8,Houston,Residential,Wood,Execution
822327.205,6.774401227,57,3,San Jose,Commercial,Brick,Closing
4817967.796,42.8703561,278,9,Chicago,Infrastructure,Glass,Execution
769930.273,7.482621729,19,1,San Diego,Infrastructure,Wood,Execution
4691677.164,40.25830488,255,11,Phoenix,Industrial,Steel,Planning
2693778.499,32.57127378,211,8,San Antonio,Industrial,Brick,Planning
2168124.005,22.73366784,145,5,Los Angeles,Commercial,Steel,Closing
4520687.626,50.2103802,256,10,Los Angeles,Residential,Glass,Execution
4669354.155,29.3638629,248,9,Chicago,Infrastructure,Concrete,Execution
2104567.098,17.13149998,150,7,Houston,Residential,Glass,Planning
1764192.042,25.93839694,141,5,San Diego,Residential,Steel,Closing
845795.9651,11.66831053,71,0,Phoenix,Infrastructure,Wood,Execution
466925.8516,7.896773386,43,0,San Antonio,Residential,Wood,Planning
1791038.161,10.16821705,191,4,Dallas,Commercial,Wood,Execution
961684.8974,1.206302568,26,0,San Diego,Residential,Wood,Closing
2940064.67,29.74897691,252,7,Chicago,Industrial,Wood,Planning
929919.9751,11.5364976,66,2,San Diego,Commercial,Concrete,Execution
867371.4188,20.95227813,30,0,San Antonio,Industrial,Steel,Closing
3035042.284,44.92629501,207,8,San Diego,Residential,Brick,Closing
740107.2581,13.37409746,28,1,San Antonio,Commercial,Concrete,Planning
416118.9438,12.71680096,37,2,Phoenix,Industrial,Glass,Execution
4556750.205,35.0606333,233,11,Los Angeles,Infrastructure,Wood,Closing
2911391.196,27.60253516,206,8,Los Angeles,Industrial,Glass,Execution
4276090.774,38.03235072,254,11,Houston,Commercial,Glass,Execution
4600048.094,37.33199847,274,9,Dallas,Infrastructure,Concrete,Closing
3360869.622,29.04548104,214,7,Phoenix,Commercial,Steel,Planning
718398.4203,7.86559465,30,0,Philadelphia,Residential,Brick,Execution
3011986.526,31.38688469,227,7,Philadelphia,Commercial,Concrete,Planning
4611310.625,33.32259215,260,8,Dallas,Infrastructure,Brick,Planning
1869716.399,17.58057083,144,5,Houston,Industrial,Concrete,Planning
940084.7676,7.115481722,32,1,San Diego,Industrial,Concrete,Planning
801205.9469,14.91345492,83,2,Dallas,Residential,Glass,Planning
2835097.168,26.95705138,189,7,Dallas,Infrastructure,Glass,Closing
4377135.371,36.45105504,270,9,Phoenix,Commercial,Glass,Planning
2024640.961,22.75742688,151,7,San Jose,Residential,Brick,Execution
2322742.254,22.26767151,145,6,Dallas,Industrial,Concrete,Closing
4197105.938,41.60796606,285,10,Houston,Commercial,Concrete,Planning
499692.1152,17.21882302,48,2,Houston,Commercial,Concrete,Planning
3003123.667,34.51138587,182,10,Houston,Commercial,Steel,Execution
4480675.266,37.92016536,231,11,Dallas,Residential,Steel,Closing
4343599.301,36.20148441,215,10,Dallas,Residential,Steel,Planning
1760823.388,22.22301334,174,4,San Antonio,Commercial,Steel,Planning
2794125.698,23.23664857,170,9,Philadelphia,Commercial,Concrete,Closing
4701894.358,35.77529281,220,10,Philadelphia,Industrial,Concrete,Closing
742834.7922,17.82321828,-2,2,San Jose,Industrial,Wood,Planning
1972510.297,24.76437274,182,6,New York,Industrial,Glass,Planning
3074421.095,31.94579598,199,9,San Antonio,Commercial,Steel,Closing
573228.5128,10.76862553,51,0,San Jose,Residential,Steel,Closing
3179413.239,36.37437521,213,7,Los Angeles,Infrastructure,Concrete,Planning
4564157.145,40.97025972,225,10,Dallas,Infrastructure,Steel,Closing
4474469.064,37.19696182,191,12,Dallas,Industrial,Glass,Execution
591905.1089,12.35734179,88,2,Chicago,Commercial,Wood,Execution
2148419.074,21.4964629,176,7,New York,Commercial,Steel,Closing
4545152.305,40.08806626,230,11,San Jose,Residential,Steel,Planning
4489219.03,35.0884821,272,12,Dallas,Commercial,Steel,Planning
700922.3768,6.231319178,32,0,Chicago,Residential,Glass,Planning
3138695.782,28.0399368,221,9,San Antonio,Industrial,Steel,Closing
3347770.27,28.39378617,237,9,San Diego,Commercial,Concrete,Closing
2066396.066,20.9524984,164,5,Dallas,Residential,Steel,Closing
3380827.318,38.12979458,244,8,Dallas,Infrastructure,Wood,Planning
783290.4416,12.46225632,56,3,Los Angeles,Residential,Wood,Planning
4871100.663,41.12117372,243,8,New York,Infrastructure,Concrete,Closing
804315.7674,3.616257121,28,2,Philadelphia,Residential,Steel,Planning
3109776.767,28.72522103,197,8,Houston,Infrastructure,Glass,Planning
4701488.795,33.72538666,254,11,San Antonio,Industrial,Concrete,Closing
2056657.574,18.70547513,162,5,Chicago,Commercial,Steel,Execution
1906459.76,21.73251941,149,5,Dallas,Commercial,Brick,Planning
2929717.153,37.81706679,184,10,Phoenix,Residential,Wood,Execution
2635879.34,31.35028679,162,8,Los Angeles,Industrial,Brick,Execution
4736128.182,36.86343277,251,10,Los Angeles,Commercial,Concrete,Execution
4447468.096,38.31806527,269,10,San Jose,Industrial,Concrete,Execution
2874147.321,37.66863855,189,6,Phoenix,Commercial,Brick,Execution
642048.0639,6.108476373,54,0,Dallas,Infrastructure,Wood,Closing
2998880.796,33.34370828,178,8,New York,Industrial,Concrete,Closing
3125905.917,25.9784212,218,7,Philadelphia,Commercial,Steel,Closing
3050633.048,34.10172006,199,8,Dallas,Infrastructure,Steel,Closing
4632940.549,37.23539581,270,10,Dallas,Infrastructure,Brick,Execution
548796.5237,3.929056936,73,2,Chicago,Infrastructure,Steel,Closing
2856233.522,33.72502656,196,8,San Jose,Infrastructure,Glass,Planning
815385.4748,8.904497356,67,0,San Jose,Residential,Glass,Execution
1921648.37,15.38794908,182,5,Philadelphia,Residential,Wood,Planning
4585663.338,40.38578248,238,10,San Diego,Commercial,Concrete,Planning
2189910.827,12.57551016,99,6,Phoenix,Infrastructure,Brick,Execution
2037916.323,25.00523046,96,6,San Diego,Residential,Concrete,Planning
1967973.441,23.35670038,154,4,Los Angeles,Industrial,Brick,Execution
762046.042,22.31621056,46,1,Houston,Residential,Glass,Closing
2764881.079,25.52465079,212,7,New York,Infrastructure,Glass,Planning
2709764.862,29.93955526,175,8,Dallas,Commercial,Glass,Planning
2782969.895,25.87294735,259,9,Chicago,Infrastructure,Steel,Planning
644047.9592,12.56633717,52,2,San Jose,Residential,Brick,Execution
2858084.029,23.70747545,196,8,New York,Commercial,Wood,Execution
3139765.684,32.10486472,210,7,Los Angeles,Residential,Brick,Closing
1040228.722,14.79635413,93,0,San Jose,Commercial,Brick,Closing
2583177.412,38.62348325,194,8,Phoenix,Infrastructure,Glass,Closing
4399643.161,33.13767226,256,10,Chicago,Residential,Concrete,Execution
537539.2573,12.36796215,32,3,New York,Industrial,Glass,Closing
4323786.333,36.43889618,274,11,New York,Commercial,Concrete,Execution
4668146.896,41.03901254,224,9,Phoenix,Commercial,Brick,Execution
545753.4366,13.54178224,55,0,New York,Industrial,Steel,Planning
619871.4862,7.564373081,38,0,Phoenix,Industrial,Steel,Closing
4936819.347,42.85253604,238,9,Los Angeles,Industrial,Brick,Closing
4956330.367,36.91179162,219,8,Phoenix,Industrial,Brick,Closing
1973138.252,24.05404137,166,3,Chicago,Residential,Steel,Planning
1565466.091,24.23710839,139,5,Houston,Infrastructure,Steel,Execution
832686.9806,19.38397906,35,0,San Diego,Industrial,Wood,Planning
2696425.251,28.214854,218,9,New York,Residential,Glass,Closing
646542.31,17.0467372,96,1,Houston,Residential,Brick,Planning
2880497.961,37.11184931,235,9,Philadelphia,Commercial,Steel,Planning
598173.4677,10.75196893,57,3,San Antonio,Infrastructure,Glass,Execution
474466.1264,5.3108748,60,2,Houston,Residential,Wood,Planning
2909350.318,37.26233767,207,8,Los Angeles,Infrastructure,Steel,Closing
2879203.875,28.85225672,167,8,San Antonio,Commercial,Brick,Closing
3284549.627,34.63107701,219,9,New York,Commercial,Glass,Planning
4514536.105,37.94253428,248,10,New York,Industrial,Glass,Planning
4431490.16,40.85231885,231,10,San Jose,Infrastructure,Brick,Closing
