Budget (USD),Duration (Months),NumWorkers,SafetyIncidents,Location,ProjectType,MaterialType,ProjectPhase
2947097.031737878,19.98068817796624,213,7,San Diego,Residential,Wood,Closing
493939.1202658211,14.362286641400724,63,1,San Antonio,Infrastructure,Brick,Execution
2199209.537161163,16.216024557152696,122,7,San Antonio,Residential,Concrete,Execution
4592873.972709315,37.24724034145756,256,9,Chicago,Infrastructure,Steel,Execution
2107301.9687140808,15.507660091044814,151,5,Chicago,Infrastructure,Glass,Planning
4564416.4621533975,39.94453998025699,234,11,Chicago,Residential,Brick,Execution
1865301.8751512263,21.39497081111901,133,7,San Antonio,Infrastructure,Concrete,Planning
3075281.905219503,25.48974222821245,183,9,Philadelphia,Commercial,Brick,Planning
3017731.5181922875,30.986578537027977,188,8,Dallas,Industrial,Steel,Planning
3039004.996805625,26.20858965556205,177,9,San Jose,Residential,Steel,Planning
2237894.097784928,13.86196092431504,162,6,New York,Residential,Wood,Closing
1162149.5849763977,18.77670421221602,45,2,Los Angeles,Commercial,Steel,Closing
4452806.002557806,43.72092855157517,258,10,Los Angeles,Residential,Concrete,Planning
736784.0402705367,3.944919001187717,37,1,Phoenix,Infrastructure,Wood,Execution
2820930.735527396,27.95949580419889,180,9,Los Angeles,Infrastructure,Steel,Execution
4747530.751502399,41.89883818020448,231,10,Los Angeles,Industrial,Steel,Execution
3323442.514993725,30.521779687616064,182,7,Dallas,Commercial,Concrete,Planning
2773959.255065216,42.058383377892106,230,9,San Antonio,Commercial,Steel,Closing
797122.9116217132,13.854325969434834,20,2,San Jose,Industrial,Concrete,Closing
4104902.445756572,43.75549727253655,209,10,Dallas,Industrial,Brick,Execution
2174013.546137751,22.47840943986302,153,5,New York,Infrastructure,Concrete,Planning
2936030.4953490314,30.758789961243703,183,10,Philadelphia,Industrial,Steel,Execution
1109537.3053699045,13.20421430633505,39,2,Phoenix,Industrial,Glass,Execution
2237477.2103129504,32.94781821009307,162,5,San Diego,Commercial,Brick,Planning
1754846.8673995316,12.6781255989509,154,6,Phoenix,Residential,Brick,Planning
2782073.3925315225,26.076190459361484,193,7,Los Angeles,Industrial,Concrete,Planning
4432175.544145992,41.85030557634478,248,10,Dallas,Industrial,Brick,Planning
1718736.5072656332,19.58447213685653,120,6,San Jose,Industrial,Concrete,Execution
1866185.4522680168,25.19952343698038,138,7,San Antonio,Infrastructure,Concrete,Planning
4481411.158677283,38.80249038989125,272,10,Phoenix,Commercial,Steel,Planning
2193891.4401053474,22.135971809358423,137,7,Los Angeles,Infrastructure,Glass,Closing
655613.6268421133,15.44475298483683,51,0,Houston,Commercial,Wood,Closing
1903451.2955635933,15.233356958706436,152,7,Phoenix,Commercial,Concrete,Planning
4736378.218591993,42.40454046374448,246,9,Dallas,Residential,Brick,Execution
607430.8434645671,10.532151138459485,45,3,Los Angeles,Commercial,Brick,Planning
2864964.345005124,29.27740664642241,184,8,Chicago,Industrial,Steel,Planning
2237782.674294929,23.54151923600532,157,6,San Diego,Industrial,Glass,Execution
4588954.761566319,35.87173158598929,253,10,Chicago,Infrastructure,Concrete,Planning
4548576.402630055,29.589506484055065,261,9,San Diego,Infrastructure,Wood,Closing
4720775.468663252,42.37583873247691,250,9,Dallas,Industrial,Glass,Closing
4335212.9026056,36.40445274275407,291,10,Dallas,Industrial,Steel,Execution
3136043.22109009,35.96253756238988,164,8,Dallas,Infrastructure,Steel,Execution
4821756.171146874,44.14114845092311,272,10,San Jose,Commercial,Brick,Closing
4206642.961876865,37.492989265571815,270,11,New York,Commercial,Glass,Closing
509940.7185888448,8.327493820795258,41,0,San Jose,Infrastructure,Wood,Planning
2626692.0097278766,35.03756844918461,186,9,San Diego,Residential,Brick,Execution
4601248.197861185,47.23652849695903,261,9,Phoenix,Commercial,Concrete,Planning
4569341.995520984,52.55778275792212,213,10,San Jose,Industrial,Steel,Closing
2961992.192999701,28.212772885947864,196,9,Chicago,Industrial,Steel,Planning
4695563.10993724,29.471765290798377,273,11,Chicago,Residential,Wood,Closing
2033730.9343933456,22.209703247847045,128,6,Chicago,Industrial,Glass,Closing
990242.784432789,7.959623134892243,9,0,Los Angeles,Infrastructure,Steel,Planning
2944223.321169849,34.225789855921604,199,7,San Diego,Industrial,Brick,Planning
2102621.1596352165,18.70226661208041,165,6,Los Angeles,Commercial,Concrete,Closing
774059.1263423797,12.572194170293743,64,0,Houston,Infrastructure,Brick,Planning
2139644.662722718,21.967426927108747,168,6,Los Angeles,Residential,Glass,Execution
3067011.6058168234,31.58077978591389,209,6,San Jose,Industrial,Wood,Closing
4427992.146248603,36.3596145107234,257,10,San Jose,Infrastructure,Glass,Planning
1962942.4682244584,19.35089650133287,151,5,Phoenix,Residential,Wood,Planning
3081952.5591918994,25.694560449132148,228,9,Dallas,Industrial,Concrete,Planning
2118950.868333057,24.26707779390154,165,5,Houston,Commercial,Wood,Planning
654165.152430942,9.071705116680914,28,0,Dallas,Commercial,Steel,Planning
871579.3019433079,10.93304561578179,41,1,Philadelphia,Industrial,Concrete,Planning
914634.1167923828,10.36658983594202,24,0,Phoenix,Commercial,Glass,Closing
2336785.538291573,17.7055786856553,172,5,Houston,Industrial,Brick,Planning
4375593.038889124,42.913687915869325,260,11,Los Angeles,Residential,Concrete,Execution
542550.7691347087,9.048306609581958,32,0,Houston,Industrial,Concrete,Execution
4144797.64919032,45.31970493780428,255,11,San Antonio,Industrial,Concrete,Execution
3064811.405644312,24.261543050921663,202,5,San Jose,Residential,Wood,Execution
1973748.6065815391,20.38425941479384,146,4,Dallas,Infrastructure,Wood,Planning
2696565.260665664,33.752895837608826,192,7,Dallas,Residential,Concrete,Planning
2259398.9093122217,19.88565968850559,130,4,Houston,Infrastructure,Brick,Planning
2835516.01352356,35.60515333662236,200,8,Philadelphia,Infrastructure,Concrete,Closing
3111102.5292684496,25.40656744256953,192,8,Philadelphia,Residential,Wood,Planning
4408430.322763503,39.20318883927047,243,9,Phoenix,Residential,Glass,Closing
2070126.019854712,22.44593565073832,163,6,Phoenix,Industrial,Concrete,Planning
745819.6812071704,10.58663691654391,76,0,Dallas,Commercial,Steel,Execution
4586452.590126831,42.35022093684101,236,9,San Diego,Industrial,Wood,Execution
4230084.757689694,37.92393116047364,251,10,Dallas,Industrial,Concrete,Execution
1871703.6809554093,22.159612723369705,166,6,Houston,Commercial,Concrete,Planning
3032003.6451705573,32.50891368083772,222,9,Chicago,Industrial,Steel,Planning
4168675.358464445,37.37775931868674,235,11,Dallas,Commercial,Concrete,Closing
983556.4123319614,11.272104216506063,57,1,Chicago,Commercial,Wood,Closing
3110459.9875359046,33.12815466823,186,9,New York,Residential,Concrete,Execution
2059750.581673137,16.24104474952408,141,6,San Jose,Commercial,Wood,Planning
3151357.7359973965,33.062343970068014,180,8,Phoenix,Infrastructure,Steel,Execution
4755078.147599803,39.24142783211386,261,11,Dallas,Commercial,Wood,Execution
818723.6579136923,1.1847992231863298,56,1,New York,Industrial,Steel,Execution
4126051.660060916,38.05739612408495,254,10,Philadelphia,Residential,Steel,Execution
4528609.753975791,44.248059942581065,264,11,Chicago,Commercial,Wood,Closing
4852237.624973475,39.99843163694113,226,10,Philadelphia,Commercial,Concrete,Closing
4614748.884200882,33.61847791730832,224,10,San Jose,Industrial,Wood,Closing
2557627.617734099,37.66716850648163,172,8,San Diego,Residential,Brick,Closing
3184360.3003954506,32.41343943604606,208,9,Houston,Industrial,Steel,Planning
2928046.270842183,23.36976156958981,192,8,San Jose,Residential,Wood,Planning
2902559.4157610144,28.240393410917456,185,7,San Antonio,Infrastructure,Wood,Execution
3399133.497956793,45.549592780026806,212,8,Houston,Industrial,Steel,Execution
3244616.613419065,28.70572799815084,207,7,San Jose,Infrastructure,Steel,Execution
2011402.6249794168,21.342961394316283,181,6,San Jose,Industrial,Steel,Closing
1948240.78746658,27.993235852523583,161,5,Philadelphia,Residential,Brick,Execution
772845.5297324079,10.751508807309389,43,1,Dallas,Commercial,Brick,Closing
4118438.488424522,35.698074946102494,242,12,Houston,Commercial,Glass,Execution
4422460.016718288,37.93192167185179,240,9,Chicago,Residential,Brick,Closing
2729785.126758396,23.38771021628215,210,9,San Antonio,Commercial,Brick,Closing
4285829.516263112,49.55709543569861,224,10,San Antonio,Industrial,Concrete,Closing
811560.3537784119,1.449158036716872,23,2,San Antonio,Residential,Concrete,Execution
2991435.323737685,30.290113674041976,217,6,Philadelphia,Commercial,Glass,Planning
3190289.855411617,28.16746489815974,166,7,Los Angeles,Residential,Wood,Closing
2922995.637657427,31.91494492370464,203,6,Philadelphia,Infrastructure,Brick,Planning
2450499.031454953,27.501349119241848,189,9,San Diego,Infrastructure,Brick,Execution
582156.4953554723,8.453938120743928,57,2,San Diego,Infrastructure,Glass,Execution
4598285.89054404,42.84880178599323,254,10,Dallas,Commercial,Brick,Closing
659538.7361501846,-2.119396633144783,18,2,San Antonio,Residential,Wood,Execution
4740106.331694774,40.70179934924023,211,9,New York,Infrastructure,Concrete,Planning
4309536.7238522405,36.615024307707344,235,11,Los Angeles,Infrastructure,Wood,Planning
4677500.793482812,43.804233271557386,251,10,Houston,Industrial,Steel,Closing
4790185.509655843,49.03598321818943,216,9,Houston,Residential,Concrete,Closing
1719478.9456400613,28.74788371593469,125,4,Dallas,Industrial,Concrete,Closing
2979349.04797019,21.784055944229163,196,10,Phoenix,Industrial,Glass,Planning
1973473.250723485,15.127353476646793,172,5,San Antonio,Industrial,Steel,Planning
4465439.652520707,43.85960077418338,259,9,San Antonio,Residential,Concrete,Planning
740882.7967289004,11.216697246613458,45,1,San Diego,Infrastructure,Concrete,Closing
4755393.077217638,41.69011740550854,226,9,Houston,Residential,Glass,Closing
4191439.696958071,36.83622485057481,262,9,Los Angeles,Commercial,Glass,Planning
2239314.3003328983,19.20735213486515,149,4,Chicago,Industrial,Wood,Closing
438674.1652952193,13.030049756728198,24,3,Phoenix,Industrial,Wood,Execution
865311.3926111533,11.55625077271768,112,2,Phoenix,Residential,Brick,Execution
1814529.3731618847,21.19184491367393,170,6,Houston,Infrastructure,Concrete,Planning
2046757.1823581487,12.220521768981865,157,6,Philadelphia,Commercial,Wood,Execution
2334514.477367541,22.095095046830227,136,5,Phoenix,Industrial,Brick,Planning
4417555.850995106,44.56736866008704,261,10,Los Angeles,Infrastructure,Concrete,Execution
4960727.750420958,32.60277888430138,275,11,Los Angeles,Infrastructure,Steel,Closing
4196130.784904632,25.839222009447155,241,11,Philadelphia,Infrastructure,Glass,Planning
4620618.936989767,35.74732360626478,300,10,San Jose,Infrastructure,Wood,Execution
2569331.416025752,35.485763558768475,190,7,Phoenix,Commercial,Brick,Execution
2868376.7021849486,28.481369856116675,173,7,Houston,Infrastructure,Brick,Planning
1726624.2603169158,18.87617299053658,127,3,San Diego,Infrastructure,Wood,Execution
1982343.590329749,32.898546688271594,134,7,San Antonio,Industrial,Concrete,Planning
4482512.934244564,42.74159813777249,269,10,San Jose,Residential,Glass,Planning
879096.8362282151,20.8162736165273,44,1,Philadelphia,Residential,Brick,Execution
3110295.255047905,31.702946082002484,208,7,Dallas,Infrastructure,Glass,Execution
4699116.302800406,48.51586304959019,217,8,San Diego,Residential,Concrete,Planning
527884.8309068342,18.76135221711812,69,2,Dallas,Industrial,Concrete,Execution
759704.3255889654,5.845249417944811,55,1,San Jose,Industrial,Wood,Closing
732052.8611425547,17.200586077247365,36,3,Philadelphia,Commercial,Brick,Execution
1930269.573118428,18.25371147840785,144,7,San Jose,Industrial,Concrete,Closing
4084437.6360287606,38.39851097731679,283,10,Dallas,Infrastructure,Glass,Closing
1255386.4851747244,7.3456561353983965,40,2,San Diego,Industrial,Wood,Execution
4567710.575257183,35.310372117318,254,9,San Diego,Industrial,Concrete,Closing
2123830.8522010394,30.287477348558493,150,4,Houston,Residential,Steel,Closing
4343960.174176508,46.6528745201952,226,11,Chicago,Residential,Concrete,Execution
2864858.3841676777,30.170762087440124,178,7,San Antonio,Infrastructure,Glass,Execution
2176621.955429432,19.61081401493599,146,8,New York,Infrastructure,Wood,Closing
2552353.7533350056,19.396499236824667,188,8,Dallas,Residential,Brick,Execution
1787521.294370624,22.141535486038244,146,6,Los Angeles,Industrial,Steel,Closing
2851503.153492323,27.57347082316066,225,10,San Diego,Infrastructure,Wood,Execution
4472120.559867353,43.69826575862336,212,11,San Jose,Commercial,Wood,Execution
4385650.791608788,41.66303755162099,269,10,Philadelphia,Residential,Concrete,Planning
1924174.4518025024,18.982098199488192,138,4,Houston,Commercial,Steel,Planning
4514250.749982178,33.53246187397952,236,9,Houston,Commercial,Wood,Planning
547433.7759331153,11.57123666297637,32,0,San Diego,Industrial,Concrete,Closing
2108292.545640957,23.79577580151324,138,2,San Antonio,Residential,Brick,Planning
2081963.7313857025,18.793711726907286,163,7,Houston,Commercial,Glass,Closing
792818.7488260408,3.77130610644006,53,1,Phoenix,Industrial,Concrete,Closing
1842443.249618352,16.89576200874442,147,5,San Antonio,Commercial,Glass,Planning
2992138.542474474,29.327516077991337,207,9,San Jose,Commercial,Wood,Planning
4842408.0568035785,31.261817450858693,259,10,Chicago,Industrial,Concrete,Closing
2050747.9322989148,22.338465858827167,172,5,San Antonio,Residential,Wood,Execution
2224822.5439972025,24.737632310614288,135,5,Phoenix,Commercial,Concrete,Execution
2035978.830230696,26.960011431723,168,3,San Diego,Residential,Wood,Execution
4133771.02433233,33.857780843671186,208,10,San Jose,Industrial,Concrete,Planning
2147368.779418486,18.59336221440893,151,6,San Antonio,Residential,Concrete,Closing
2843246.8668827205,26.547294738418703,182,7,San Jose,Industrial,Wood,Execution
1994889.185801711,25.86364509629682,161,5,San Antonio,Industrial,Glass,Closing
4409610.125617624,36.05330747140163,250,10,Dallas,Commercial,Wood,Closing
4642921.958127324,29.75029360711261,273,10,Los Angeles,Industrial,Glass,Closing
4713034.393142877,47.263083727430896,232,9,Houston,Residential,Wood,Closing
2904755.8252910683,34.371945903563635,205,8,San Diego,Infrastructure,Glass,Planning
474136.15439709456,6.345349800290405,49,3,Los Angeles,Industrial,Wood,Planning
765160.9116387452,6.6141914424394415,70,1,San Diego,Commercial,Glass,Planning
2221636.5633475035,14.800470364372345,162,4,San Diego,Commercial,Concrete,Closing
2044936.9451503768,24.662954159365448,122,3,San Diego,Infrastructure,Brick,Execution
4778690.905504886,43.55274551148893,259,10,San Jose,Residential,Steel,Planning
1862369.9309644552,31.262179026721544,170,5,San Diego,Commercial,Glass,Execution
937656.7611951996,7.419776358913131,52,1,San Jose,Commercial,Glass,Planning
1963420.711779032,26.874382095740923,137,4,New York,Commercial,Steel,Planning
2079937.590350528,16.743215531040853,139,6,New York,Commercial,Brick,Execution
4585097.986648046,45.98623461822614,223,9,San Antonio,Infrastructure,Brick,Planning
4743638.942350851,45.28684152689112,267,10,Dallas,Infrastructure,Steel,Closing
3085177.441238608,30.09573888707876,187,8,San Antonio,Infrastructure,Glass,Planning
2080746.018067322,19.87902196804541,132,5,Dallas,Infrastructure,Brick,Execution
2878424.9478648365,27.304386484255108,189,9,Philadelphia,Commercial,Brick,Closing
2098806.037256548,21.30336882911953,139,4,Phoenix,Industrial,Glass,Closing
752785.8583825892,9.879374564449984,54,1,Philadelphia,Infrastructure,Glass,Planning
2402677.4495053245,20.682676655413687,143,5,Chicago,Infrastructure,Steel,Closing
2150668.3242209065,21.90579192441389,176,6,Los Angeles,Residential,Steel,Execution
1087428.3270145128,14.408198784747253,50,2,San Diego,Commercial,Brick,Planning
785540.2001866507,3.323278206449494,58,2,San Diego,Industrial,Brick,Planning
4365976.959909153,45.8585895735808,226,10,Philadelphia,Residential,Brick,Planning
2777708.408612593,31.232523892160025,210,9,New York,Infrastructure,Brick,Planning
2209910.543063867,17.32382394219716,176,5,Houston,Commercial,Steel,Execution
3021178.890623047,32.92206490236242,240,6,Philadelphia,Residential,Concrete,Execution
1725619.7714137286,11.932193010616295,179,5,New York,Commercial,Brick,Execution
2870125.392335715,36.60652016136506,228,7,Chicago,Industrial,Concrete,Closing
1060230.395104505,10.578373171464293,74,1,Phoenix,Infrastructure,Glass,Closing
3153641.4433263475,31.07698252728144,210,12,Philadelphia,Industrial,Wood,Closing
1961018.343929464,25.668850484335323,162,2,Dallas,Residential,Steel,Planning
4502499.86438145,54.34201527833384,217,11,Chicago,Infrastructure,Wood,Closing
696025.0129413258,5.106181421088463,41,1,New York,Residential,Steel,Planning
821557.4720696567,12.803922631841171,72,2,San Antonio,Infrastructure,Brick,Execution
591495.8523134599,9.426317792665506,60,2,Houston,Commercial,Concrete,Execution
3315623.611512437,34.92724842807609,217,8,New York,Industrial,Steel,Closing
3392517.4381061587,30.01847835923924,220,9,Houston,Commercial,Concrete,Execution
4444001.339625104,33.60484631890107,260,9,San Jose,Infrastructure,Glass,Planning
3078483.193435753,27.455181871462507,199,6,San Diego,Infrastructure,Glass,Execution
3017063.6285130046,25.95867139179537,183,9,Philadelphia,Industrial,Glass,Closing
746297.372801522,8.556706805399308,56,0,Philadelphia,Commercial,Steel,Execution
4734039.74183932,40.671482486238965,252,11,Houston,Commercial,Wood,Planning
853869.3028482344,17.66369456501289,48,1,Los Angeles,Commercial,Concrete,Closing
4720164.279684521,45.30685482436567,261,10,Chicago,Infrastructure,Steel,Closing
3096413.345467077,31.8436657365876,208,6,Houston,Commercial,Glass,Planning
4281567.273456382,44.173756631624414,268,8,San Jose,Industrial,Concrete,Planning
4833444.822310228,47.61619310856129,265,12,San Antonio,Infrastructure,Steel,Planning
3216353.345534566,23.43890403284297,212,9,Philadelphia,Industrial,Brick,Closing
641123.4550949634,10.55461294854933,27,1,San Diego,Industrial,Glass,Execution
1935464.0322315728,18.745834917724764,177,6,Philadelphia,Infrastructure,Steel,Execution
3183078.055112032,27.252298627022327,198,7,Phoenix,Industrial,Wood,Execution
915083.269797606,14.067548180003191,76,1,San Jose,Commercial,Wood,Execution
2896714.071222485,29.017667082859514,196,7,San Diego,Infrastructure,Concrete,Closing
2243431.704165099,27.60658025961225,170,5,Dallas,Residential,Steel,Closing
2779027.441387496,31.10270713506933,224,7,Houston,Commercial,Brick,Closing
4639080.49491006,34.29495745123631,248,9,New York,Industrial,Steel,Closing
3209463.541324289,35.84794996213887,195,8,Phoenix,Infrastructure,Glass,Planning
818545.0692755408,12.28376609576892,61,1,San Jose,Infrastructure,Glass,Execution
3092641.2584198248,23.16431096769877,217,7,Philadelphia,Commercial,Concrete,Closing
3252741.335530934,25.76842011267132,211,8,Dallas,Industrial,Steel,Planning
5148618.593918947,51.53958125308056,246,10,Phoenix,Residential,Brick,Closing
3195163.343868942,34.59227221971207,175,8,San Jose,Residential,Glass,Execution
2700694.148981984,26.74988032796551,198,7,New York,Infrastructure,Steel,Closing
4297880.356014217,37.42390803095879,281,11,San Antonio,Commercial,Steel,Closing
4358195.808473902,49.76629568763284,239,10,Phoenix,Commercial,Steel,Closing
3005077.684108482,20.40163421901172,200,7,Chicago,Industrial,Steel,Execution
4575830.623745224,46.15111087825394,238,8,San Antonio,Infrastructure,Wood,Closing
2912656.052791881,29.669336926870887,242,8,Houston,Industrial,Concrete,Closing
853531.8040938246,6.371280934232672,54,0,San Jose,Infrastructure,Brick,Execution
1802074.3726859328,24.70385593994108,130,5,New York,Industrial,Brick,Closing
533787.3344800206,13.07967803472132,62,1,Phoenix,Industrial,Wood,Planning
886390.5942589928,8.44866621703272,56,1,Philadelphia,Industrial,Brick,Planning
4269127.466353403,31.240855966241405,242,10,Philadelphia,Commercial,Concrete,Planning
4721180.084871462,37.18026255970879,234,10,Houston,Infrastructure,Wood,Execution
652478.7551855013,7.837209060901896,58,1,Phoenix,Industrial,Wood,Execution
1911343.5497616976,15.575986429865496,147,7,Phoenix,Residential,Brick,Closing
2797220.8095414923,30.4284358070168,181,8,Houston,Residential,Wood,Execution
822327.2050095268,6.774401226974378,57,3,San Jose,Commercial,Brick,Closing
4817967.795636137,42.870356104470005,278,9,Chicago,Infrastructure,Glass,Execution
769930.2730175282,7.482621729419003,19,1,San Diego,Infrastructure,Wood,Execution
4691677.1639684085,40.2583048842554,255,11,Phoenix,Industrial,Steel,Planning
2693778.499488856,32.57127378008917,211,8,San Antonio,Industrial,Brick,Planning
2168124.0053009107,22.7336678410069,145,5,Los Angeles,Commercial,Steel,Closing
4520687.625861621,50.21038020071872,256,10,Los Angeles,Residential,Glass,Execution
4669354.155043298,29.363862898242523,248,9,Chicago,Infrastructure,Concrete,Execution
2104567.0976071,17.131499980307105,150,7,Houston,Residential,Glass,Planning
1764192.0417680396,25.93839694230782,141,5,San Diego,Residential,Steel,Closing
845795.9651492784,11.66831052643474,71,0,Phoenix,Infrastructure,Wood,Execution
466925.8515899172,7.896773386173205,43,0,San Antonio,Residential,Wood,Planning
1791038.1611957932,10.16821705311999,191,4,Dallas,Commercial,Wood,Execution
961684.8973699176,1.2063025678844284,26,0,San Diego,Residential,Wood,Closing
2940064.670398643,29.748976914791275,252,7,Chicago,Industrial,Wood,Planning
929919.97508665,11.536497604383047,66,2,San Diego,Commercial,Concrete,Execution
867371.418760054,20.95227812904989,30,0,San Antonio,Industrial,Steel,Closing
3035042.2837817026,44.926295013017054,207,8,San Diego,Residential,Brick,Closing
740107.2580695134,13.37409746083302,28,1,San Antonio,Commercial,Concrete,Planning
416118.94377572567,12.716800961899676,37,2,Phoenix,Industrial,Glass,Execution
4556750.2047323,35.06063329549625,233,11,Los Angeles,Infrastructure,Wood,Closing
2911391.195774304,27.602535163003783,206,8,Los Angeles,Industrial,Glass,Execution
4276090.774323367,38.03235072015136,254,11,Houston,Commercial,Glass,Execution
4600048.093887314,37.33199846780417,274,9,Dallas,Infrastructure,Concrete,Closing
3360869.6219573487,29.045481041363505,214,7,Phoenix,Commercial,Steel,Planning
718398.4202842021,7.865594650262899,30,0,Philadelphia,Residential,Brick,Execution
3011986.5260532657,31.38688468979096,227,7,Philadelphia,Commercial,Concrete,Planning
4611310.624906751,33.32259215450054,260,8,Dallas,Infrastructure,Brick,Planning
1869716.3992771104,17.58057082972839,144,5,Houston,Industrial,Concrete,Planning
940084.76763721,7.115481721687985,32,1,San Diego,Industrial,Concrete,Planning
801205.9468627751,14.91345491972757,83,2,Dallas,Residential,Glass,Planning
2835097.1676944653,26.9570513838015,189,7,Dallas,Infrastructure,Glass,Closing
4377135.371180741,36.45105503883232,270,9,Phoenix,Commercial,Glass,Planning
2024640.961356897,22.75742688020234,151,7,San Jose,Residential,Brick,Execution
2322742.2538117296,22.2676715075699,145,6,Dallas,Industrial,Concrete,Closing
4197105.938163847,41.60796605669619,285,10,Houston,Commercial,Concrete,Planning
499692.1151619112,17.218823020366298,48,2,Houston,Commercial,Concrete,Planning
3003123.6667899205,34.51138586893324,182,10,Houston,Commercial,Steel,Execution
4480675.265997022,37.920165360263205,231,11,Dallas,Residential,Steel,Closing
4343599.301497793,36.20148441259857,215,10,Dallas,Residential,Steel,Planning
1760823.3875929632,22.223013341100703,174,4,San Antonio,Commercial,Steel,Planning
2794125.698363586,23.23664857078233,170,9,Philadelphia,Commercial,Concrete,Closing
4701894.357719194,35.77529280703252,220,10,Philadelphia,Industrial,Concrete,Closing
742834.7921780096,17.82321827907003,-2,2,San Jose,Industrial,Wood,Planning
1972510.2970744616,24.764372736014693,182,6,New York,Industrial,Glass,Planning
3074421.0945213726,31.945795978339643,199,9,San Antonio,Commercial,Steel,Closing
573228.5127597734,10.76862552972764,51,0,San Jose,Residential,Steel,Closing
3179413.2393774264,36.37437520639361,213,7,Los Angeles,Infrastructure,Concrete,Planning
4564157.145186537,40.97025971802937,225,10,Dallas,Infrastructure,Steel,Closing
4474469.063696362,37.19696181576345,191,12,Dallas,Industrial,Glass,Execution
591905.1089109376,12.357341785679978,88,2,Chicago,Commercial,Wood,Execution
2148419.074401861,21.49646290203246,176,7,New York,Commercial,Steel,Closing
4545152.304622351,40.08806625966829,230,11,San Jose,Residential,Steel,Planning
4489219.0301988525,35.08848209811343,272,12,Dallas,Commercial,Steel,Planning
700922.3767994259,6.231319178212552,32,0,Chicago,Residential,Glass,Planning
3138695.782382799,28.03993680040435,221,9,San Antonio,Industrial,Steel,Closing
3347770.2703706664,28.39378616941044,237,9,San Diego,Commercial,Concrete,Closing
2066396.0661138028,20.952498398895333,164,5,Dallas,Residential,Steel,Closing
3380827.3179146014,38.12979457681031,244,8,Dallas,Infrastructure,Wood,Planning
783290.4416426112,12.462256320040746,56,3,Los Angeles,Residential,Wood,Planning
4871100.662958853,41.12117372267646,243,8,New York,Infrastructure,Concrete,Closing
804315.7674390747,3.616257120898453,28,2,Philadelphia,Residential,Steel,Planning
3109776.767063473,28.72522103223151,197,8,Houston,Infrastructure,Glass,Planning
4701488.79463904,33.72538665998854,254,11,San Antonio,Industrial,Concrete,Closing
2056657.5743092285,18.705475131479613,162,5,Chicago,Commercial,Steel,Execution
1906459.7597376213,21.73251940865358,149,5,Dallas,Commercial,Brick,Planning
2929717.1528572533,37.81706679416054,184,10,Phoenix,Residential,Wood,Execution
2635879.3398902966,31.35028679195711,162,8,Los Angeles,Industrial,Brick,Execution
4736128.182490429,36.863432770243485,251,10,Los Angeles,Commercial,Concrete,Execution
4447468.095936767,38.31806527294432,269,10,San Jose,Industrial,Concrete,Execution
